x	y	class	color	
35260.4296875	26654.26171875		-65536
34761.9765625	26671.271484375		-65536
34634.41015625	26653.00390625		-65536
33908.0	26656.65625		-65536
33983.90234375	26653.4296875		-65536
34461.09375	26660.537109375		-65536
34663.0078125	26690.798828125		-65536
34028.62890625	26662.818359375		-65536
34932.328125	26653.251953125		-65536
34715.18359375	26657.328125		-65536
34859.421875	26662.001953125		-65536
34383.953125	26698.384765625		-65536
34559.375	26661.640625		-65536
34295.8984375	26662.6640625		-65536
34946.046875	26667.53515625		-65536
35305.8515625	26679.404296875		-65536
33757.54296875	26674.482421875		-65536
34137.0390625	26671.341796875		-65536
34528.8359375	26663.96875		-65536
34902.140625	26665.6015625		-65536
34582.01171875	26673.80078125		-65536
35046.28125	26682.251953125		-65536
35220.0859375	26687.208984375		-65536
33933.3203125	26676.353515625		-65536
34196.25390625	26682.287109375		-65536
34345.26953125	26680.01953125		-65536
34627.83984375	26678.056640625		-65536
34698.6015625	26678.908203125		-65536
34238.6796875	26682.58984375		-65536
34311.91015625	26674.7578125		-65536
33621.1171875	26693.126953125		-65536
34437.28515625	26680.236328125		-65536
34830.76953125	26682.529296875		-65536
33803.59765625	26698.333984375		-65536
34171.3046875	26687.341796875		-65536
34295.68359375	26689.23828125		-65536
34506.91015625	26702.646484375		-65536
34553.44921875	26686.541015625		-65536
34920.41015625	26690.923828125		-65536
35014.71875	26705.67578125		-65536
33715.44921875	26713.62890625		-65536
34460.80078125	26689.96875		-65536
34060.765625	26711.931640625		-65536
34954.69921875	26692.970703125		-65536
33587.296875	26697.375		-65536
33904.09375	26705.53515625		-65536
34796.32421875	26705.775390625		-65536
34313.37890625	26704.013671875		-65536
34569.7734375	26708.82421875		-65536
34275.83203125	26703.193359375		-65536
34634.75390625	26722.888671875		-65536
35261.421875	26708.458984375		-65536
34615.1796875	26700.380859375		-65536
34977.5	26702.07421875		-65536
35149.33203125	26703.068359375		-65536
33840.98828125	26715.412109375		-65536
33931.41796875	26708.76953125		-65536
33999.9375	26716.103515625		-65536
34723.41796875	26706.947265625		-65536
33869.84765625	26713.083984375		-65536
34189.2734375	26705.640625		-65536
34441.92578125	26710.177734375		-65536
35295.3515625	26707.8203125		-65536
34898.20703125	26716.09765625		-65536
35205.78515625	26729.39453125		-65536
34772.10546875	26735.751953125		-65536
33654.671875	26716.005859375		-65536
34606.5625	26719.80859375		-65536
34937.875	26725.84765625		-65536
33589.578125	26736.484375		-65536
34695.3828125	26723.34765625		-65536
33618.4375	26731.501953125		-65536
34854.95703125	26734.07421875		-65536
34231.96484375	26725.123046875		-65536
34461.58984375	26727.2734375		-65536
35178.3046875	26734.28125		-65536
34271.5234375	26729.25		-65536
34584.3515625	26732.96484375		-65536
35139.20703125	26740.306640625		-65536
35232.2109375	26738.474609375		-65536
34182.33203125	26738.31640625		-65536
33968.97265625	26732.69140625		-65536
34119.39453125	26752.298828125		-65536
34735.953125	26735.08203125		-65536
34524.9296875	26735.5390625		-65536
34207.8203125	26754.31640625		-65536
34880.10546875	26735.09765625		-65536
33754.984375	26741.65625		-65536
33861.1171875	26756.3671875		-65536
33788.3203125	26763.75		-65536
33934.3125	26738.55078125		-65536
34335.0390625	26741.6171875		-65536
34549.76171875	26747.52734375		-65536
34665.73828125	26752.501953125		-65536
34473.41015625	26745.04296875		-65536
34603.453125	26756.498046875		-65536
34693.98046875	26753.279296875		-65536
35350.6796875	26751.427734375		-65536
34787.83203125	26763.52734375		-65536
34044.265625	26754.796875		-65536
33644.9921875	26770.6015625		-65536
34358.28515625	26778.3828125		-65536
34638.71484375	26755.63671875		-65536
33983.46875	26773.541015625		-65536
34276.80078125	26759.10546875		-65536
34724.38671875	26760.60546875		-65536
